EVENTNUM,EVENTMSGTYPE,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,VISITORDESCRIPTION,SCOREMARGIN,PLAYER1_ID,PLAYER1_TEAM_CITY,shot time,shot clock usage,closest defender,distance
95,2,1,1:57,,MISS Lopez 8' Hook Shot,2.0,201572,Brooklyn,601.78,12.72,2.7039171377836237,8.093201789205558
98,1,1,1:43,,Reed 1' Cutting Layup Shot (4 PTS) (Jack 7 AST),0.0,203186,Brooklyn,616.8,6.559999999999999,1.091100847859631,3.1641610829096605
109,2,1,1:03,,MISS Jack 21' Jump Shot,0.0,101127,Brooklyn,655.58,15.87,1.4970155570667922,21.38442631700462
112,2,1,0:54,MISS Turner 20' Jump Shot,,0.0,202323,Boston,664.3,6.77,4.281670001296222,15.77605169142457
115,1,1,0:44,,Bogdanovic 1' Driving Layup (4 PTS),0.0,202711,Brooklyn,674.41,10.0,1.0527964829918575,5.246400007900649
123,2,1,0:25,MISS Zeller 9' Jump Shot,,0.0,203092,Boston,692.13,11.54,2.69009603520023,8.063635395409442
125,2,1,0:05,,MISS Jack 21' Jump Shot,0.0,101127,Brooklyn,713.76,,4.667829281636167,20.290867758127053
129,2,1,0:01,MISS Smart 29' 3PT Jump Shot,,0.0,203935,Boston,713.76,,,
140,1,2,11:28,,Young 10' Hook Shot (4 PTS) (Larkin 1 AST),-3.0,201152,Brooklyn,746.47,15.17,2.1016338030208757,7.7223083937965065
143,1,2,11:17,Olynyk 8' Jump Shot (4 PTS),,-1.0,203482,Boston,760.31,11.93,4.06119507270951,7.742475509874087
147,2,2,10:50,MISS Zeller 20' Jump Shot,,-1.0,203092,Boston,788.6,13.42,7.072921721113558,19.132264103835176
150,2,2,10:41,MISS Smart 9' Jump Shot,,-1.0,203935,Boston,798.32,13.42,2.2863489757252715,9.339271941693312
152,2,2,10:35,MISS Jerebko 13' Jump Shot,,-1.0,201973,Boston,802.61,13.42,6.29724158301871,14.86937373600516
167,1,2,9:55,,Lopez 12' Step Back Jump Shot (14 PTS),-3.0,201572,Brooklyn,843.26,19.8,3.528812591014149,12.089412886935412
168,2,2,9:44,MISS Bradley 25' 3PT Jump Shot,,-3.0,202340,Boston,855.3,9.24,4.967388205133556,23.757599406810865
175,1,2,9:21,,Young 6' Driving Floating Bank Jump Shot (6 PTS) (Ellington 2 AST),-3.0,201152,Brooklyn,876.02,14.16,1.481007091441496,3.624223019862327
